# ONTO DATA
# Sources: Freebase, GUM, WSJ/PTB, added data by Amir Zeldes (see licenses)
ancestors	person	person/plural
anchor	object	object/inanim
anchorage	place	place/inanim
anchorman	person	person/male
and	object	object
Andorran	person	person
andrillae	animal	animal
anemia	abstract	disease/inanim
anemone	animal	animal
anemones	animal	animal
anesthesiologist	person	person
angel	abstract	abstract/inanim
Angelou	person	person
Angels	organization	organization
anger	abstract	abstract
Angolan	person	person
anguish	abstract	abstract/inanim
animal	animal	animal
animal-rights	abstract	abstract/plural
animals	animal	animal
animation	abstract	abstract/inanim
animator	person	person
annals	abstract	abstract/plural
anniversaries	event	event/plural
anniversary	event	event
anniversary	event	event/inanim
anniversay	event	event
announcement	abstract	abstract
announcer	person	person
annuals	plant	plant
annuity	quantity	quantity/inanim
annum	time	time-unit/inanim
anomalies	abstract	abstract/inanim
anomaly	abstract	abstract/inanim
anonymity	abstract	abstract/inanim
Anonymous	person	person
another	place	place
answer	abstract	abstract/inanim
answering	event	event/inanim
answers	abstract	abstract
ant	animal	animal
antagonist	person	person
Antarctic	place	place
Antarctica	place	place
antarctician	person	person
ante	quantity	quantity/inanim
anteater	animal	animal
antecedent	abstract	abstract/inanim
antelope	animal	animal
anthem	abstract	abstract/inanim
anthology	abstract	abstract/inanim
anthrax	abstract	disease/inanim
anthropologist	person	person
anti-abortion	abstract	abstract/inanim
anti-abortionist	person	person
anti-airline	abstract	abstract/inanim
anti-apartheid	abstract	abstract/inanim
anti-foreigner	abstract	abstract/inanim
anti-government	abstract	abstract/inanim
anti-outsider	abstract	abstract/inanim
antibiotic	substance	substance/inanim
antibody	substance	substance/inanim
anticipation	abstract	abstract/inanim
antigen	substance	substance/inanim
antihero	person	person
antiquarian	person	person
ants	animal	animal/plural
ants	animal	animal/plural
anxiety	abstract	abstract/inanim
any	event	event/inanim
anybody	person	person
anyone	person	person
anything	object	object
apartheid	abstract	abstract/inanim
apartment	place	place/inanim
ape	animal	animal
aphid	person	person
aphids	object	object/plural
Aphrodite	person	person
API	abstract	abstract/inanim
apologist	person	person
apostle	person	person
apothecary	person	person
apparat	object	object/inanim
apparatus	object	object/inanim
apparel	object	object/inanim
appeal	event	event/inanim
appearance	abstract	abstract
appellate-court	organization	organization
