ⲁⲫⲑⲟⲛⲓⲁ	person	person/F
ⲁⲭⲉⲓⲙ	person	person/M
ⲃⲁⲗⲁϩⲁⲙ	person	person/M
ⲃⲁⲗⲗⲁ	person	person/F
ⲃⲁⲣⲁⲃⲃⲁⲥ	person	person/M
ⲃⲁⲣⲁⲭⲓⲁⲥ	person	person/M
ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	person	person/M
ⲃⲁⲣⲛⲁⲃⲁⲥ	person	person/M
ⲃⲁⲣⲥⲁⲃⲁⲥ	person	person/M
ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	person	person/M
ⲃⲁⲥⲓⲙⲟⲥ	person	person/M
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	person	person/M
ⲃⲏⲥⲁⲣⲓⲟⲛ	person	person/M
ⲃⲟⲉⲥ	person	person/M
ⲅⲁⲃⲣⲓⲏⲗ	person	person/M
ⲅⲁⲓⲟⲥ	person	person/M
ⲅⲁⲗⲗⲓⲱⲛ	person	person/M
ⲅⲁⲙⲁⲗⲓⲏⲗ	person	person/M
ⲅⲉⲇⲉⲱⲛ	person	person/M
ⲇⲁⲛⲓⲏⲗ	person	person/M
ⲇⲁⲩⲉⲓⲇ	person	person/M
ⲇⲉⲃⲃⲱⲣⲁ	person	person/F
ⲇⲏⲙⲁⲥ	person	person/M
ⲇⲓⲁⲃⲟⲗⲟⲥ	person	person/M
ⲇⲓⲇⲩⲙⲟⲥ	person	person/M
ⲇⲓⲙⲏⲧⲣⲓⲟⲥ	person	person/M
ⲇⲓⲟⲛⲏⲥⲓⲟⲥ	person	person/M
ⲇⲓⲟⲥⲕⲟⲣⲟⲥ	person	person/M
ⲇⲟⲣⲕⲁⲥ	person	person/F
ⲇⲟⲩⲗⲟⲥ	person	person/M
ⲉⲍⲉⲕⲉⲓⲁⲥ	person	person/M
ⲉⲓⲉⲍⲁⲃⲉⲗ	person	person/F
ⲉⲓⲟⲩⲥⲧⲟⲥ	person	person/M
ⲉⲗⲉⲁⲍⲁⲣ	person	person/M
ⲉⲗⲓⲁⲕⲓⲙ	person	person/M
ⲉⲗⲓⲟⲩⲇ	person	person/M
ⲉⲗⲓⲥⲁⲃⲉⲧ	person	person/F
ⲉⲗⲓⲥⲥⲁⲓⲟⲥ	person	person/M
ⲉⲗⲩⲙⲁⲥ	person	person/M
ⲉⲛⲁⲓⲁ	person	person/M
ⲉⲛⲱⲭ	person	person/M
ⲉⲡⲁⲫⲣⲁⲥ	person	person/M
ⲉⲣⲁⲥⲧⲟⲥ	person	person/M
ⲉⲥⲣⲱⲙ	person	person/M
ⲍⲁⲃⲟⲩⲗⲟⲛ	person	person/M
ⲍⲁⲕⲭⲁⲓⲟⲥ	person	person/M
ⲍⲁⲗⲉϩ	person	person/M
ⲍⲁⲣⲁ	person	person/M
ⲍⲁⲭⲁⲣⲓⲁⲥ	person	person/M
ⲍⲉⲃⲉⲇⲁⲓⲟⲥ	person	person/M
ⲍⲉⲗⲫⲁ	person	person/F
ⲍⲏⲛⲁ	person	person/M
ⲍⲟⲣⲟⲃⲁⲃⲉⲗ	person	person/M
ⲏⲥⲁⲓⲁⲥ	person	person/M
ⲏⲥⲁⲩ	person	person/M
ⲑⲉⲟⲇⲟⲣⲟⲥ	person	person/M
ⲑⲉⲩⲧⲁⲥ	person	person/M
