ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	M
ⲃⲁⲣⲛⲁⲃⲁⲥ	M
ⲃⲁⲣⲥⲁⲃⲁⲥ	M
ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	M
ⲃⲁⲥⲓⲙⲟⲥ	M
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	M
ⲃⲏⲥⲁⲣⲓⲟⲛ	M
ⲃⲟⲉⲥ	M
ⲅⲁⲃⲣⲓⲏⲗ	M
ⲅⲁⲓⲟⲥ	M
ⲅⲁⲗⲗⲓⲱⲛ	M
ⲅⲁⲙⲁⲗⲓⲏⲗ	M
ⲅⲉⲇⲉⲱⲛ	M
ⲇⲁⲛⲓⲏⲗ	M
ⲇⲁⲩⲉⲓⲇ	M
ⲇⲉⲃⲃⲱⲣⲁ	F
ⲇⲏⲙⲁⲥ	M
ⲇⲓⲁⲃⲟⲗⲟⲥ	M
ⲇⲓⲇⲩⲙⲟⲥ	M
ⲇⲓⲙⲏⲧⲣⲓⲟⲥ	M
ⲇⲓⲟⲛⲏⲥⲓⲟⲥ	M
ⲇⲓⲟⲥⲕⲟⲣⲟⲥ	M
ⲇⲟⲣⲕⲁⲥ	F
ⲇⲟⲩⲗⲟⲥ	M
ⲉⲍⲉⲕⲉⲓⲁⲥ	M
ⲉⲓⲉⲍⲁⲃⲉⲗ	F
ⲉⲓⲟⲩⲥⲧⲟⲥ	M
ⲉⲗⲉⲁⲍⲁⲣ	M
ⲉⲗⲓⲁⲕⲓⲙ	M
ⲉⲗⲓⲟⲩⲇ	M
ⲉⲗⲓⲥⲁⲃⲉⲧ	F
ⲉⲗⲓⲥⲥⲁⲓⲟⲥ	M
ⲉⲗⲩⲙⲁⲥ	M
ⲉⲛⲁⲓⲁ	M
ⲉⲛⲱⲭ	M
ⲉⲡⲁⲫⲣⲁⲥ	M
ⲉⲣⲁⲥⲧⲟⲥ	M
ⲉⲥⲣⲱⲙ	M
ⲍⲁⲃⲟⲩⲗⲟⲛ	M
ⲍⲁⲕⲭⲁⲓⲟⲥ	M
ⲍⲁⲗⲉϩ	M
ⲍⲁⲣⲁ	M
ⲍⲁⲭⲁⲣⲓⲁⲥ	M
ⲍⲉⲃⲉⲇⲁⲓⲟⲥ	M
ⲍⲉⲗⲫⲁ	F
ⲍⲏⲛⲁ	M
ⲍⲟⲣⲟⲃⲁⲃⲉⲗ	M
ⲏⲥⲁⲓⲁⲥ	M
ⲏⲥⲁⲩ	M
ⲑⲉⲟⲇⲟⲣⲟⲥ	M
ⲑⲉⲩⲧⲁⲥ	M
ⲑⲉⲱⲇⲱⲣⲟⲥ	M
ⲑⲉⲱⲫⲓⲗⲟⲥ	M
ⲑⲱⲙⲁⲥ	M
ⲓⲁⲕⲕⲱⲃⲟⲥ	M
ⲓⲁⲕⲱⲃ	M
ⲓⲁⲕⲱⲃⲟⲥ	M
ⲓⲁⲙⲃⲣⲏⲥ	M
ⲓⲁⲛⲛⲏⲥ	M
ⲓⲁⲥⲥⲱⲛ	M
ⲓⲁⲥⲱⲛ	M
ⲓⲉⲍⲉⲕⲓⲏⲗ	M
ⲓⲉⲣⲉⲙⲓⲁⲥ	M
ⲓⲉⲣⲏⲙⲓⲁⲥ	M
ⲓⲉⲥⲥⲁⲓ	M
ⲓⲉⲭⲟⲛⲓⲁⲥ	M
ⲓⲏⲥⲟⲩⲥ	M
ⲓⲟⲣⲇⲁⲛⲏⲥ	M
ⲓⲟⲩⲇⲁ	M
ⲓⲟⲩⲇⲁⲥ	M
ⲓⲟⲩⲗⲓⲁ	F
ⲓⲟⲩⲗⲓⲟⲥ	M
ⲓⲟⲩⲛⲓⲁ	F
ⲓⲟⲩⲥⲧⲟⲥ	M
ⲓⲥ	M
ⲓⲥⲁⲁⲕ	M
ⲓⲥⲙⲁⲏⲗ	M
ⲓⲱϩⲁⲛⲏⲥ	M
ⲓⲱϩⲁⲛⲛⲁ	F
ⲓⲱϩⲁⲛⲛⲏⲥ	M
ⲓⲱⲁⲛⲛⲏⲥ	M
ⲓⲱⲃⲏⲇ	M
ⲓⲱⲏⲗ	M
ⲓⲱⲣⲁⲙ	M
ⲓⲱⲥⲁⲫⲁⲧ	M
ⲓⲱⲥⲏ	M
ⲓⲱⲥⲏⲥ	M
ⲓⲱⲥⲏⲫ	M
ⲓⲱⲥⲓⲁⲥ	M
ⲕⲁⲓⲛ	M
ⲕⲁⲓⲟⲥ	M
ⲕⲁⲓⲫⲁⲥ	M
