ⲧⲃⲧ	animal	animal/M
ϭⲁⲙⲟⲩⲗ	animal	animal/M
ϣⲁ	event	event/M
ⲇⲓⲡⲛⲟⲛ	event	event/M
ⲇⲓⲱⲅⲙⲟⲥ	event	event/M
ⲡⲁⲥⲭⲁ	event	event/M
ⲡⲟⲗⲉⲙⲟⲥ	event	event/M
ⲥϭⲏⲣ	event	event/M
ⲧⲱⲛ	event	event/M
ⲫⲟⲛⲟⲥ	event	event/M
ϩⲟⲓⲧⲉ	object	object/M
ϣⲉ	object	object/M
ϣⲟⲩϣⲧ	object	object/M
ϥⲱ	object	object/M
ϩⲁⲧ	object	object/M
ϩⲏⲃⲥ	object	object/M
ϩⲏⲕⲉ	object	object/M
ϩⲙⲟⲩ	object	object/M
ϩⲛⲁⲁⲩ	object	object/M
ϩⲛⲟ	object	object/M
ϩⲟⲙⲛⲧ	object	object/M
ϩⲟ	object	object/M
ϩⲱⲧ	object	object/M
ϫⲏϭⲉ	object	object/M
ϫⲟⲉⲓⲧ	object	object/M
ϫⲟⲉⲓ	object	object/M
ϫⲱⲱⲙⲉ	object	object/M
ϫⲱ	object	object/M
ϭⲉⲣⲱⲃ	object	object/M
ϭⲗⲟϭ	object	object/M
ϭⲣⲟϭ	object	object/M
ⲁⲡⲟⲧ	object	object/M
ⲃⲁⲗ	object	object/M
ⲃⲓⲣ	object	object/M
ⲉⲗⲟⲟⲗⲉ	object	object/M
ⲑⲁⲃ	object	object/M
ⲕⲁϣ	object	object/M
ⲕⲁⲣⲡⲟⲥ	object	object/M
ⲕⲗⲁⲇⲟⲥ	object	object/M
ⲕⲗⲟⲙ	object	object/M
ⲕⲛⲧⲉ	object	object/M
ⲕⲱϩⲧ	object	object/M
ⲙⲏⲏϣⲉ	object	object/M
ⲙⲟⲟⲩ	object	object/M
ⲛⲕⲁ	object	object/M
ⲛⲟⲩⲃ	object	object/M
ⲟⲉⲓⲕ	object	object/M
ⲟⲩⲱϣⲙ	object	object/M
