f	muc	bcub	ceafe	size	type
1.73333333333	0.79	1.14	3.27	4	false_neg
0.696666666667	0.78	1.07	0.24	8	invent_ana
0.696666666667	0.78	1.07	0.24	8	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
2.91333333333	1.57	3.17	4.0	4	wrong_link
1.36666666667	0.79	0.91	2.4	5	false_neg
0.693333333333	0.79	1.09	0.2	11	false_neg
0.68	0.78	1.08	0.18	0	invent_ante
0.68	0.78	1.08	0.18	0	invent_ante
3.16666666667	1.57	4.94	2.99	5	wrong_link
2.93333333333	1.57	4.37	2.86	4	wrong_link
0.693333333333	0.79	1.09	0.2	11	false_neg
0.68	0.78	1.08	0.18	0	invent_ante
0.68	0.78	1.08	0.18	0	invent_ante
1.70333333333	0.79	1.37	2.95	5	false_neg
0.84	0.78	0.94	0.8	2	invent_ana
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.67666666667	0.79	1.88	2.36	11	false_neg
1.96333333333	0.79	2.52	2.58	11	false_neg
0.726666666667	0.78	1.03	0.37	0	invent_ante
1.70333333333	0.79	1.37	2.95	5	false_neg
2.19333333333	0.79	2.95	2.84	11	false_neg
2.19333333333	0.79	2.95	2.84	11	false_neg
2.19333333333	0.79	2.95	2.84	11	false_neg
0.756666666667	0.79	1.03	0.45	5	false_neg
0.756666666667	0.79	1.03	0.45	5	false_neg
0.726666666667	0.78	1.03	0.37	0	invent_ante
1.42	1.57	1.8	0.89	4	wrong_link
0.726666666667	0.78	1.03	0.37	0	invent_ante
1.42	1.57	1.8	0.89	4	wrong_link
0.756666666667	0.79	1.03	0.45	5	false_neg
0.75	0.78	1.02	0.45	4	invent_ana
2.65333333333	0.79	4.22	2.95	15	false_neg
2.65333333333	0.79	4.22	2.95	15	false_neg
2.65333333333	0.79	4.22	2.95	15	false_neg
2.65333333333	0.79	4.22	2.95	15	false_neg
2.65333333333	0.79	4.22	2.95	15	false_neg
0.84	0.78	0.94	0.8	0	invent_ante
2.36	0.79	3.17	3.12	11	false_neg
2.36	0.79	3.17	3.12	11	false_neg
2.36	0.79	3.17	3.12	11	false_neg
2.36	0.79	3.17	3.12	11	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.19333333333	0.79	2.95	2.84	11	false_neg
2.19333333333	0.79	2.95	2.84	11	false_neg
1.96333333333	0.79	2.52	2.58	11	false_neg
1.67666666667	0.79	1.88	2.36	11	false_neg
1.67666666667	0.79	1.88	2.36	11	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
2.77666666667	0.79	4.38	3.16	15	false_neg
1.29	0.78	1.12	1.97	0	invent_both
